
2025/03/01 (01:42:32) | ===> btop++ v.1.4.0
2025/03/01 (01:42:32) | WARNING: Failed to join _runner thread on exit!

2025/03/07 (19:04:49) | ===> btop++ v.1.4.0
2025/03/07 (19:04:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (19:04:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/07 (19:04:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (19:04:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (19:04:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (19:04:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/07 (19:04:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (23:51:13) | ===> btop++ v.1.4.0
2025/03/07 (23:51:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (23:51:13) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/07 (23:51:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (23:51:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (23:51:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (23:51:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/07 (23:51:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/10 (20:51:36) | ===> btop++ v.1.4.0
2025/03/10 (20:51:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/10 (20:51:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/10 (20:51:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/10 (20:51:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/10 (20:51:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/10 (20:51:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/10 (20:51:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/10 (20:51:46) | ===> btop++ v.1.4.0
2025/03/10 (20:51:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/10 (20:51:46) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/10 (20:51:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/10 (20:51:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/10 (20:51:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/10 (20:51:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/10 (20:51:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/12 (20:32:57) | ===> btop++ v.1.4.0
2025/03/12 (20:32:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/12 (20:32:57) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/12 (20:32:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/12 (20:32:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/12 (20:32:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/12 (20:32:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/12 (20:32:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/12 (20:39:15) | ===> btop++ v.1.4.0
2025/03/12 (20:39:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/12 (20:39:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/12 (20:39:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/12 (20:39:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/12 (20:39:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/12 (20:39:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/12 (20:39:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (19:37:06) | ===> btop++ v.1.4.0
2025/03/14 (19:37:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
